grad(p):0,grad(p):1,grad(p):2
5.94E-05,1.08E-05,0
5.89E-05,1.31E-05,-4.54E-21
5.83E-05,1.53E-05,-4.37E-21
5.75E-05,1.71E-05,0
5.67E-05,1.86E-05,0
5.57E-05,1.96E-05,-4.03E-21
5.47E-05,2.01E-05,3.93E-21
5.37E-05,2.01E-05,-3.84E-21
5.26E-05,1.97E-05,0
5.14E-05,1.90E-05,0
5.03E-05,1.81E-05,0
4.91E-05,1.72E-05,7.18E-21
4.79E-05,1.63E-05,-1.08E-20
4.66E-05,1.55E-05,7.13E-21
4.55E-05,1.47E-05,0
4.43E-05,1.40E-05,0
4.31E-05,1.33E-05,0
4.20E-05,1.28E-05,7.34E-21
4.09E-05,1.22E-05,-7.45E-21
3.99E-05,1.17E-05,7.60E-21
3.89E-05,1.12E-05,0
3.79E-05,1.07E-05,0
3.70E-05,1.02E-05,-4.14E-21
3.62E-05,9.69E-06,0
3.53E-05,9.14E-06,4.02E-23
3.46E-05,8.57E-06,-4.59E-21
3.39E-05,7.95E-06,0
3.32E-05,7.30E-06,4.99E-21
3.26E-05,6.63E-06,-5.23E-21
3.20E-05,5.94E-06,5.48E-21
3.15E-05,5.22E-06,0
3.10E-05,4.51E-06,6.05E-21
3.06E-05,3.82E-06,0
3.03E-05,3.17E-06,0
2.99E-05,2.57E-06,0
2.96E-05,2.03E-06,0
2.94E-05,1.57E-06,2.04E-21
2.91E-05,1.18E-06,2.16E-21
2.89E-05,8.30E-07,0
2.87E-05,5.32E-07,-2.48E-21
2.86E-05,2.39E-07,-2.65E-21
2.85E-05,-8.40E-08,0
2.83E-05,-4.19E-07,0
2.82E-05,-8.35E-07,-1.63E-21
2.82E-05,-1.29E-06,0
2.81E-05,-1.77E-06,-3.79E-21
2.81E-05,-2.29E-06,0
2.80E-05,-2.77E-06,0
2.80E-05,-3.14E-06,0
2.80E-05,-3.50E-06,0
2.80E-05,-3.73E-06,-1.39E-21
2.80E-05,-3.78E-06,-7.48E-22
2.80E-05,-3.63E-06,0
2.80E-05,-2.86E-06,8.76E-22
2.80E-05,-1.88E-06,-9.56E-22
6.53E-05,-4.47E-06,-1.56E-21
6.52E-05,-8.75E-06,7.26E-22
6.49E-05,-1.40E-05,0
6.46E-05,-1.64E-05,0
6.43E-05,-1.67E-05,0
6.40E-05,-1.64E-05,0
6.37E-05,-1.58E-05,0
6.34E-05,-1.51E-05,9.08E-22
6.31E-05,-1.42E-05,-8.26E-22
6.28E-05,-1.31E-05,2.94E-23
6.25E-05,-1.20E-05,1.42E-21
6.23E-05,-1.09E-05,-1.35E-21
6.21E-05,-9.69E-06,-1.26E-21
6.19E-05,-8.46E-06,0
6.18E-05,-7.19E-06,-2.19E-21
6.16E-05,-5.90E-06,2.01E-21
6.15E-05,-4.53E-06,0
6.15E-05,-3.08E-06,-3.56E-21
6.14E-05,-1.53E-06,3.11E-23
6.13E-05,1.14E-07,-3.19E-21
6.12E-05,1.89E-06,2.95E-21
6.11E-05,3.81E-06,2.85E-21
6.09E-05,5.85E-06,-5.36E-21
6.06E-05,8.01E-06,0
6.02E-05,1.02E-05,0
5.97E-05,1.24E-05,4.71E-21
5.91E-05,1.44E-05,4.52E-21
5.83E-05,1.61E-05,4.36E-21
5.74E-05,1.75E-05,-4.22E-21
5.65E-05,1.85E-05,8.13E-21
5.54E-05,1.89E-05,-3.93E-21
5.43E-05,1.89E-05,3.84E-21
5.32E-05,1.85E-05,0
5.20E-05,1.78E-05,0
5.09E-05,1.69E-05,0
4.96E-05,1.60E-05,0
4.84E-05,1.51E-05,3.62E-21
4.72E-05,1.43E-05,-3.66E-21
4.60E-05,1.36E-05,0
4.48E-05,1.29E-05,3.68E-21
4.36E-05,1.23E-05,0
4.25E-05,1.17E-05,-3.75E-21
4.14E-05,1.12E-05,0
4.03E-05,1.07E-05,0
3.93E-05,1.03E-05,0
3.83E-05,9.80E-06,0
3.74E-05,9.33E-06,-4.02E-23
3.66E-05,8.84E-06,4.31E-21
3.57E-05,8.31E-06,-4.42E-21
3.50E-05,7.76E-06,9.23E-21
3.43E-05,7.19E-06,0
3.36E-05,6.57E-06,-4.99E-21
3.30E-05,5.93E-06,5.23E-21
3.25E-05,5.25E-06,-5.48E-21
3.20E-05,4.57E-06,0
3.15E-05,3.90E-06,2.40E-23
3.11E-05,3.24E-06,0
3.07E-05,2.61E-06,0
3.04E-05,2.04E-06,0
3.01E-05,1.53E-06,0
2.98E-05,1.10E-06,1.51E-23
2.96E-05,7.28E-07,2.19E-21
2.94E-05,4.32E-07,2.33E-21
2.92E-05,1.57E-07,2.48E-21
2.91E-05,-1.04E-07,5.33E-21
2.90E-05,-3.93E-07,0
2.89E-05,-7.30E-07,0
2.88E-05,-1.10E-06,0
2.87E-05,-1.53E-06,1.78E-21
2.86E-05,-1.97E-06,1.90E-21
2.86E-05,-2.45E-06,1.03E-21
2.86E-05,-2.91E-06,0
2.85E-05,-3.26E-06,0
2.85E-05,-3.55E-06,0
2.85E-05,-3.71E-06,1.39E-21
2.85E-05,-3.80E-06,0
2.85E-05,-3.70E-06,0
2.85E-05,-2.89E-06,0
2.85E-05,-1.86E-06,9.56E-22
6.59E-05,-4.81E-06,7.87E-22
6.58E-05,-9.83E-06,-7.26E-22
6.56E-05,-1.56E-05,0
6.54E-05,-1.81E-05,0
6.51E-05,-1.83E-05,0
6.48E-05,-1.79E-05,0
6.45E-05,-1.72E-05,0
6.42E-05,-1.63E-05,1.75E-23
6.39E-05,-1.52E-05,-8.58E-22
6.37E-05,-1.41E-05,2.99E-23
6.34E-05,-1.29E-05,0
6.32E-05,-1.16E-05,2.73E-21
6.30E-05,-1.03E-05,1.26E-21
6.28E-05,-8.96E-06,0
6.27E-05,-7.60E-06,4.42E-21
6.25E-05,-6.22E-06,0
6.24E-05,-4.80E-06,-1.95E-21
6.23E-05,-3.31E-06,3.63E-21
6.22E-05,-1.77E-06,-1.69E-21
6.21E-05,-1.28E-07,3.19E-21
6.20E-05,1.63E-06,3.07E-21
6.18E-05,3.47E-06,5.25E-23
6.15E-05,5.43E-06,-4.95E-23
6.12E-05,7.47E-06,-2.62E-21
6.08E-05,9.53E-06,0
6.03E-05,1.16E-05,-7.10E-21
5.96E-05,1.35E-05,7.89E-23
5.88E-05,1.51E-05,-4.36E-21
5.79E-05,1.65E-05,4.22E-21
5.70E-05,1.74E-05,-8.26E-21
5.59E-05,1.78E-05,0
5.48E-05,1.77E-05,3.96E-21
5.37E-05,1.73E-05,0
5.25E-05,1.66E-05,0
5.13E-05,1.58E-05,-3.78E-21
5.01E-05,1.49E-05,0
4.88E-05,1.40E-05,0
4.76E-05,1.32E-05,3.66E-21
4.64E-05,1.25E-05,0
4.52E-05,1.18E-05,-3.68E-21
4.40E-05,1.12E-05,0
4.28E-05,1.07E-05,3.75E-21
4.17E-05,1.02E-05,0
4.07E-05,9.77E-06,0
3.97E-05,9.33E-06,0
3.87E-05,8.89E-06,0
3.78E-05,8.45E-06,4.18E-21
3.69E-05,7.99E-06,4.07E-23
3.61E-05,7.50E-06,0
3.53E-05,6.97E-06,-4.64E-21
3.46E-05,6.42E-06,0
3.40E-05,5.85E-06,0
3.34E-05,5.23E-06,-5.31E-21
3.28E-05,4.59E-06,-2.79E-21
3.24E-05,3.94E-06,0
3.19E-05,3.29E-06,-3.06E-21
3.15E-05,2.66E-06,0
3.11E-05,2.07E-06,3.45E-21
3.08E-05,1.52E-06,0
3.05E-05,1.06E-06,-3.88E-21
3.03E-05,6.52E-07,-2.05E-21
3.00E-05,3.12E-07,1.62E-23
2.99E-05,3.61E-08,1.72E-23
2.97E-05,-2.12E-07,0
2.95E-05,-4.45E-07,1.94E-23
2.94E-05,-6.97E-07,0
2.93E-05,-1.01E-06,0
2.92E-05,-1.36E-06,0
2.91E-05,-1.73E-06,-1.78E-21
2.91E-05,-2.16E-06,-1.93E-21
2.90E-05,-2.60E-06,-1.03E-21
2.90E-05,-3.01E-06,0
2.90E-05,-3.37E-06,0
2.90E-05,-3.63E-06,0
2.90E-05,-3.77E-06,0
2.90E-05,-3.78E-06,7.63E-22
2.90E-05,-3.63E-06,0
2.90E-05,-2.87E-06,0
2.90E-05,-1.83E-06,0
6.62E-05,-5.09E-06,-8.18E-22
6.62E-05,-1.08E-05,0
6.60E-05,-1.70E-05,0
6.57E-05,-1.96E-05,0
6.55E-05,-1.97E-05,-5.95E-22
6.52E-05,-1.92E-05,1.10E-21
6.50E-05,-1.84E-05,0
6.47E-05,-1.74E-05,-9.26E-22
6.45E-05,-1.63E-05,-1.63E-23
6.42E-05,-1.50E-05,3.01E-23
6.40E-05,-1.37E-05,-1.51E-21
6.38E-05,-1.23E-05,-1.38E-21
6.36E-05,-1.09E-05,0
6.34E-05,-9.46E-06,0
6.32E-05,-8.00E-06,4.16E-23
6.31E-05,-6.55E-06,0
6.30E-05,-5.09E-06,1.95E-21
6.28E-05,-3.57E-06,-1.83E-21
6.27E-05,-2.03E-06,1.75E-21
6.26E-05,-4.09E-07,0
6.24E-05,1.30E-06,5.61E-23
6.22E-05,3.10E-06,5.28E-23
6.19E-05,4.97E-06,2.75E-21
6.16E-05,6.90E-06,2.62E-21
6.12E-05,8.86E-06,0
6.06E-05,1.08E-05,2.40E-21
5.99E-05,1.26E-05,-4.60E-21
5.91E-05,1.41E-05,0
5.82E-05,1.54E-05,0
5.73E-05,1.62E-05,4.17E-21
5.62E-05,1.66E-05,0
5.51E-05,1.66E-05,-3.96E-21
5.39E-05,1.62E-05,-3.95E-21
5.28E-05,1.55E-05,0
5.16E-05,1.46E-05,3.78E-21
5.04E-05,1.37E-05,0
4.91E-05,1.28E-05,0
4.79E-05,1.21E-05,0
4.67E-05,1.13E-05,3.75E-21
4.55E-05,1.07E-05,0
4.43E-05,1.02E-05,3.80E-21
4.32E-05,9.69E-06,3.84E-21
4.20E-05,9.24E-06,3.89E-21
4.10E-05,8.81E-06,3.96E-21
4.00E-05,8.39E-06,0
3.90E-05,7.98E-06,0
3.81E-05,7.57E-06,0
3.72E-05,7.14E-06,-4.36E-21
3.64E-05,6.68E-06,-4.55E-21
3.57E-05,6.19E-06,0
3.50E-05,5.68E-06,0
3.43E-05,5.12E-06,0
3.37E-05,4.54E-06,5.31E-21
3.32E-05,3.94E-06,2.79E-21
3.27E-05,3.32E-06,0
3.22E-05,2.70E-06,0
3.19E-05,2.10E-06,0
3.15E-05,1.54E-06,-6.93E-21
3.12E-05,1.04E-06,0
3.09E-05,5.73E-07,3.88E-21
3.06E-05,2.09E-07,0
3.04E-05,-8.41E-08,1.64E-23
3.02E-05,-3.55E-07,-2.35E-21
3.01E-05,-5.78E-07,-2.53E-21
2.99E-05,-7.61E-07,-2.69E-21
2.98E-05,-9.98E-07,0
2.97E-05,-1.27E-06,0
2.96E-05,-1.59E-06,0
2.96E-05,-1.96E-06,0
2.95E-05,-2.36E-06,1.93E-21
2.95E-05,-2.78E-06,0
2.94E-05,-3.14E-06,-1.13E-21
2.94E-05,-3.41E-06,-1.22E-21
2.94E-05,-3.64E-06,0
2.94E-05,-3.77E-06,0
2.94E-05,-3.79E-06,-7.63E-22
2.94E-05,-3.65E-06,0
2.94E-05,-2.84E-06,9.01E-22
2.94E-05,-1.80E-06,0
6.62E-05,-5.29E-06,8.18E-22
6.62E-05,-1.16E-05,0
6.60E-05,-1.82E-05,0
6.58E-05,-2.09E-05,0
6.56E-05,-2.10E-05,5.95E-22
6.53E-05,-2.03E-05,-2.22E-21
6.51E-05,-1.95E-05,1.04E-21
6.49E-05,-1.84E-05,9.61E-22
6.47E-05,-1.72E-05,8.74E-22
6.44E-05,-1.58E-05,-1.62E-21
6.42E-05,-1.44E-05,3.04E-21
6.40E-05,-1.29E-05,0
6.39E-05,-1.14E-05,-1.33E-21
6.37E-05,-9.90E-06,-1.24E-21
6.35E-05,-8.41E-06,-2.27E-21
6.34E-05,-6.91E-06,0
6.32E-05,-5.40E-06,-2.03E-21
6.31E-05,-3.87E-06,1.90E-21
6.29E-05,-2.30E-06,-1.75E-21
6.28E-05,-7.03E-07,0
6.26E-05,9.52E-07,-6.30E-21
6.24E-05,2.70E-06,5.30E-23
6.21E-05,4.49E-06,0
6.17E-05,6.32E-06,-2.72E-21
6.13E-05,8.18E-06,0
6.07E-05,9.98E-06,2.48E-21
6.00E-05,1.17E-05,0
5.92E-05,1.31E-05,-4.59E-21
5.84E-05,1.43E-05,4.43E-21
5.74E-05,1.51E-05,-4.30E-21
5.63E-05,1.55E-05,0
5.52E-05,1.54E-05,-4.09E-21
5.41E-05,1.50E-05,3.95E-21
5.29E-05,1.43E-05,0
5.17E-05,1.35E-05,0
5.05E-05,1.26E-05,0
4.93E-05,1.17E-05,0
4.81E-05,1.09E-05,-3.80E-21
4.69E-05,1.02E-05,-3.75E-21
4.57E-05,9.65E-06,0
4.45E-05,9.13E-06,-3.80E-21
4.34E-05,8.66E-06,4.29E-23
4.23E-05,8.24E-06,-3.89E-21
4.12E-05,7.85E-06,-3.96E-21
4.02E-05,7.47E-06,0
3.92E-05,7.09E-06,0
3.83E-05,6.70E-06,0
3.75E-05,6.30E-06,-4.44E-21
3.67E-05,5.88E-06,4.55E-21
3.59E-05,5.43E-06,4.76E-21
3.52E-05,4.93E-06,-4.95E-21
3.46E-05,4.41E-06,5.17E-21
3.40E-05,3.87E-06,-2.70E-21
3.35E-05,3.29E-06,-2.83E-21
3.30E-05,2.71E-06,0
3.26E-05,2.12E-06,0
3.22E-05,1.56E-06,0
3.18E-05,1.03E-06,3.48E-21
3.15E-05,5.45E-07,0
3.12E-05,1.20E-07,0
3.10E-05,-2.17E-07,0
3.08E-05,-4.92E-07,-2.22E-21
3.06E-05,-7.07E-07,0
3.04E-05,-9.05E-07,2.53E-21
3.03E-05,-1.09E-06,-2.73E-21
3.02E-05,-1.29E-06,-1.46E-21
3.01E-05,-1.53E-06,0
3.00E-05,-1.82E-06,0
2.99E-05,-2.15E-06,-1.82E-21
2.99E-05,-2.51E-06,-9.78E-22
2.98E-05,-2.89E-06,1.05E-21
2.98E-05,-3.23E-06,-8.12E-24
2.98E-05,-3.51E-06,1.22E-21
2.98E-05,-3.72E-06,0
2.98E-05,-3.78E-06,0
2.98E-05,-3.76E-06,-7.74E-22
2.98E-05,-3.61E-06,0
2.98E-05,-2.81E-06,-9.01E-22
2.98E-05,-1.77E-06,0
6.60E-05,-5.49E-06,0
6.59E-05,-1.24E-05,-7.84E-22
6.58E-05,-1.93E-05,0
6.56E-05,-2.21E-05,0
6.54E-05,-2.20E-05,0
6.52E-05,-2.13E-05,1.12E-21
6.50E-05,-2.04E-05,1.91E-23
6.48E-05,-1.93E-05,-1.94E-21
6.46E-05,-1.80E-05,0
6.44E-05,-1.65E-05,8.42E-22
6.42E-05,-1.50E-05,-1.54E-21
6.40E-05,-1.35E-05,0
6.39E-05,-1.19E-05,1.33E-21
6.37E-05,-1.03E-05,1.24E-21
6.35E-05,-8.79E-06,0
6.34E-05,-7.25E-06,0
6.32E-05,-5.71E-06,2.03E-21
6.31E-05,-4.18E-06,-3.83E-21
6.29E-05,-2.63E-06,0
6.28E-05,-1.03E-06,0
6.26E-05,6.00E-07,-5.62E-23
6.23E-05,2.26E-06,-3.01E-21
6.20E-05,4.00E-06,0
6.16E-05,5.75E-06,2.72E-21
6.12E-05,7.49E-06,0
6.06E-05,9.18E-06,-2.48E-21
5.99E-05,1.08E-05,0
5.92E-05,1.22E-05,-7.50E-23
5.83E-05,1.33E-05,-4.43E-21
5.73E-05,1.40E-05,4.30E-21
5.63E-05,1.44E-05,0
5.52E-05,1.43E-05,4.09E-21
5.41E-05,1.39E-05,0
5.29E-05,1.32E-05,0
5.18E-05,1.24E-05,0
5.06E-05,1.15E-05,-3.89E-21
4.94E-05,1.06E-05,-3.86E-21
4.82E-05,9.84E-06,3.80E-21
4.70E-05,9.16E-06,0
4.58E-05,8.58E-06,0
4.46E-05,8.08E-06,0
4.35E-05,7.65E-06,-3.88E-21
4.24E-05,7.25E-06,-3.98E-21
4.14E-05,6.90E-06,-4.05E-21
4.04E-05,6.55E-06,0
3.94E-05,6.19E-06,0
3.85E-05,5.84E-06,-4.35E-21
3.77E-05,5.47E-06,8.92E-21
3.69E-05,5.08E-06,0
3.61E-05,4.67E-06,-4.76E-21
3.54E-05,4.21E-06,4.95E-21
3.48E-05,3.72E-06,-5.17E-21
3.42E-05,3.20E-06,-2.27E-23
3.37E-05,2.66E-06,5.69E-21
3.32E-05,2.11E-06,0
3.28E-05,1.56E-06,-3.16E-21
3.24E-05,1.02E-06,0
3.21E-05,5.24E-07,0
3.18E-05,7.08E-08,0
3.15E-05,-3.17E-07,0
3.13E-05,-6.39E-07,0
3.11E-05,-8.80E-07,0
3.09E-05,-1.08E-06,-2.40E-21
3.07E-05,-1.24E-06,2.57E-21
3.06E-05,-1.38E-06,2.73E-21
3.05E-05,-1.55E-06,1.46E-21
3.04E-05,-1.78E-06,0
3.03E-05,-2.07E-06,0
3.02E-05,-2.35E-06,1.82E-21
3.02E-05,-2.67E-06,9.78E-22
3.01E-05,-3.04E-06,-1.05E-21
3.01E-05,-3.32E-06,1.14E-21
3.01E-05,-3.55E-06,0
3.01E-05,-3.76E-06,0
3.01E-05,-3.82E-06,0
3.01E-05,-3.76E-06,7.74E-22
3.01E-05,-3.53E-06,8.44E-22
3.01E-05,-2.72E-06,-9.14E-22
3.01E-05,-1.73E-06,0
6.55E-05,-5.67E-06,0
6.54E-05,-1.31E-05,-1.42E-23
6.53E-05,-2.02E-05,0
6.51E-05,-2.30E-05,0
6.50E-05,-2.30E-05,0
6.48E-05,-2.22E-05,0
6.46E-05,-2.12E-05,-2.13E-21
6.45E-05,-2.00E-05,-1.76E-23
6.43E-05,-1.87E-05,0
6.41E-05,-1.71E-05,-8.42E-22
6.40E-05,-1.56E-05,0
6.38E-05,-1.40E-05,-1.48E-21
6.36E-05,-1.24E-05,0
6.35E-05,-1.08E-05,0
6.33E-05,-9.17E-06,0
6.32E-05,-7.59E-06,0
6.30E-05,-6.04E-06,0
6.29E-05,-4.47E-06,3.90E-21
6.27E-05,-2.93E-06,-1.85E-21
6.25E-05,-1.37E-06,-1.74E-21
6.23E-05,2.16E-07,3.23E-21
6.21E-05,1.84E-06,0
6.18E-05,3.50E-06,0
6.14E-05,5.15E-06,0
6.09E-05,6.80E-06,0
6.04E-05,8.41E-06,0
5.97E-05,9.90E-06,-2.46E-21
5.89E-05,1.12E-05,7.03E-21
5.81E-05,1.22E-05,0
5.71E-05,1.29E-05,0
5.61E-05,1.32E-05,0
5.50E-05,1.32E-05,-4.21E-21
5.39E-05,1.28E-05,-4.12E-21
5.28E-05,1.21E-05,0
5.17E-05,1.13E-05,0
5.05E-05,1.04E-05,7.84E-21
4.94E-05,9.52E-06,3.86E-21
4.82E-05,8.76E-06,0
4.70E-05,8.09E-06,0
4.59E-05,7.53E-06,3.90E-21
4.47E-05,7.06E-06,0
4.36E-05,6.65E-06,0
4.25E-05,6.28E-06,3.98E-21
4.15E-05,5.96E-06,8.13E-21
4.05E-05,5.63E-06,4.17E-21
3.95E-05,5.32E-06,0
3.86E-05,5.00E-06,4.35E-21
3.78E-05,4.65E-06,-4.48E-21
3.70E-05,4.29E-06,-4.67E-21
3.63E-05,3.92E-06,0
3.56E-05,3.49E-06,-5.04E-21
3.50E-05,3.04E-06,0
3.44E-05,2.55E-06,-2.28E-23
3.39E-05,2.05E-06,-2.86E-21
3.34E-05,1.53E-06,0
3.30E-05,1.00E-06,3.16E-21
3.26E-05,4.98E-07,0
3.23E-05,3.25E-08,0
3.20E-05,-3.87E-07,-1.89E-21
3.17E-05,-7.50E-07,2.00E-21
3.15E-05,-1.04E-06,-2.13E-21
3.13E-05,-1.25E-06,2.27E-21
3.11E-05,-1.41E-06,2.40E-21
3.10E-05,-1.56E-06,-2.57E-21
3.09E-05,-1.69E-06,-1.39E-21
3.07E-05,-1.81E-06,-1.49E-21
3.06E-05,-2.03E-06,0
3.06E-05,-2.26E-06,0
3.05E-05,-2.51E-06,-1.84E-21
3.05E-05,-2.85E-06,0
3.04E-05,-3.14E-06,0
3.04E-05,-3.41E-06,0
3.04E-05,-3.64E-06,-1.24E-21
3.04E-05,-3.75E-06,0
3.04E-05,-3.78E-06,-7.26E-22
3.04E-05,-3.77E-06,0
3.04E-05,-3.53E-06,-8.44E-22
3.04E-05,-2.68E-06,9.14E-22
3.04E-05,-1.69E-06,-4.99E-22
6.48E-05,-5.74E-06,0
6.48E-05,-1.36E-05,7.98E-22
6.47E-05,-2.09E-05,0
6.45E-05,-2.38E-05,0
6.44E-05,-2.37E-05,0
6.42E-05,-2.29E-05,0
6.41E-05,-2.19E-05,1.08E-21
6.39E-05,-2.07E-05,9.96E-22
6.38E-05,-1.92E-05,-9.39E-22
6.37E-05,-1.77E-05,0
6.35E-05,-1.61E-05,1.62E-21
6.34E-05,-1.44E-05,1.48E-21
6.32E-05,-1.28E-05,0
6.31E-05,-1.11E-05,1.31E-21
6.29E-05,-9.51E-06,-1.22E-21
6.28E-05,-7.92E-06,0
6.26E-05,-6.35E-06,0
6.25E-05,-4.79E-06,-3.97E-21
6.23E-05,-3.25E-06,3.73E-21
6.21E-05,-1.71E-06,1.74E-21
6.19E-05,-1.63E-07,-1.67E-21
6.16E-05,1.41E-06,0
6.13E-05,2.99E-06,0
6.10E-05,4.58E-06,2.86E-21
6.05E-05,6.14E-06,0
6.00E-05,7.65E-06,0
5.93E-05,9.04E-06,2.46E-21
5.86E-05,1.03E-05,-2.37E-21
5.77E-05,1.12E-05,-4.65E-21
5.68E-05,1.19E-05,0
5.58E-05,1.22E-05,0
5.48E-05,1.21E-05,4.21E-21
5.37E-05,1.17E-05,-5.77E-23
5.26E-05,1.10E-05,-4.10E-21
5.15E-05,1.02E-05,0
5.04E-05,9.32E-06,5.10E-23
4.93E-05,8.47E-06,0
4.81E-05,7.70E-06,3.94E-21
4.70E-05,7.05E-06,0
4.58E-05,6.51E-06,-3.90E-21
4.47E-05,6.05E-06,0
4.36E-05,5.67E-06,4.01E-21
4.25E-05,5.32E-06,0
4.15E-05,5.02E-06,4.20E-23
4.05E-05,4.74E-06,-4.17E-21
3.96E-05,4.45E-06,0
3.87E-05,4.16E-06,0
3.79E-05,3.86E-06,0
3.71E-05,3.53E-06,4.67E-21
3.64E-05,3.17E-06,4.89E-21
3.57E-05,2.78E-06,5.04E-21
3.51E-05,2.37E-06,0
3.46E-05,1.91E-06,2.75E-21
3.41E-05,1.43E-06,0
3.36E-05,9.50E-07,3.05E-21
3.32E-05,4.57E-07,3.21E-21
3.28E-05,-9.10E-09,0
3.25E-05,-4.45E-07,0
3.22E-05,-8.43E-07,1.89E-21
3.19E-05,-1.17E-06,-2.00E-21
3.17E-05,-1.41E-06,2.13E-21
3.15E-05,-1.62E-06,-2.27E-21
3.13E-05,-1.77E-06,0
3.12E-05,-1.86E-06,0
3.11E-05,-1.96E-06,1.39E-21
3.10E-05,-2.08E-06,2.98E-21
3.09E-05,-2.25E-06,0
3.08E-05,-2.46E-06,0
3.07E-05,-2.70E-06,1.84E-21
3.07E-05,-2.97E-06,9.99E-22
3.07E-05,-3.25E-06,0
3.06E-05,-3.50E-06,-1.16E-21
3.06E-05,-3.67E-06,1.24E-21
3.06E-05,-3.78E-06,-6.77E-22
3.06E-05,-3.82E-06,7.26E-22
3.06E-05,-3.72E-06,0
3.06E-05,-3.49E-06,0
3.06E-05,-2.68E-06,0
3.06E-05,-1.65E-06,4.99E-22
6.40E-05,-5.81E-06,0
6.39E-05,-1.40E-05,-4.13E-22
6.38E-05,-2.16E-05,0
6.37E-05,-2.45E-05,0
6.36E-05,-2.43E-05,0
6.35E-05,-2.35E-05,0
6.34E-05,-2.25E-05,0
6.33E-05,-2.12E-05,0
6.31E-05,-1.97E-05,-1.59E-23
6.30E-05,-1.81E-05,-8.86E-22
6.29E-05,-1.65E-05,-2.44E-21
6.27E-05,-1.48E-05,0
6.26E-05,-1.31E-05,-1.42E-21
6.25E-05,-1.15E-05,-1.31E-21
6.23E-05,-9.82E-06,2.46E-21
6.22E-05,-8.22E-06,-1.16E-21
6.21E-05,-6.64E-06,2.17E-21
6.19E-05,-5.11E-06,2.00E-21
6.17E-05,-3.58E-06,-3.79E-21
6.16E-05,-2.05E-06,-1.80E-21
6.13E-05,-5.36E-07,1.67E-21
6.11E-05,9.72E-07,-3.22E-21
6.08E-05,2.50E-06,-3.05E-21
6.04E-05,4.01E-06,-2.86E-21
6.00E-05,5.49E-06,0
5.94E-05,6.91E-06,-2.65E-21
5.88E-05,8.22E-06,-2.54E-21
5.81E-05,9.36E-06,0
5.72E-05,1.03E-05,4.65E-21
5.64E-05,1.09E-05,0
5.54E-05,1.11E-05,0
5.44E-05,1.11E-05,-4.33E-21
5.34E-05,1.07E-05,8.41E-21
5.23E-05,1.00E-05,4.10E-21
5.12E-05,9.19E-06,0
5.01E-05,8.31E-06,-3.99E-21
4.90E-05,7.45E-06,0
4.79E-05,6.69E-06,-3.94E-21
4.68E-05,6.04E-06,0
4.57E-05,5.51E-06,0
4.46E-05,5.07E-06,0
4.35E-05,4.70E-06,-8.06E-21
4.25E-05,4.39E-06,0
4.15E-05,4.11E-06,-8.30E-21
4.05E-05,3.86E-06,0
3.96E-05,3.60E-06,0
3.87E-05,3.34E-06,0
3.79E-05,3.07E-06,4.60E-21
3.72E-05,2.77E-06,0
3.65E-05,2.45E-06,-4.89E-21
3.58E-05,2.09E-06,0
3.52E-05,1.70E-06,0
3.46E-05,1.29E-06,0
3.42E-05,8.46E-07,0
3.37E-05,3.83E-07,-3.05E-21
3.33E-05,-7.50E-08,2.54E-23
3.29E-05,-5.14E-07,0
3.26E-05,-9.07E-07,0
3.23E-05,-1.27E-06,0
3.21E-05,-1.58E-06,2.03E-21
3.19E-05,-1.81E-06,2.16E-21
3.17E-05,-1.97E-06,2.30E-21
3.15E-05,-2.07E-06,0
3.14E-05,-2.16E-06,0
3.12E-05,-2.22E-06,0
3.11E-05,-2.33E-06,-1.50E-21
3.10E-05,-2.47E-06,-1.62E-21
3.10E-05,-2.65E-06,1.74E-21
3.09E-05,-2.88E-06,-9.35E-22
3.09E-05,-3.12E-06,7.24E-24
3.08E-05,-3.35E-06,0
3.08E-05,-3.55E-06,1.16E-21
3.08E-05,-3.73E-06,1.26E-21
3.08E-05,-3.81E-06,6.77E-22
3.08E-05,-3.78E-06,-7.37E-22
3.08E-05,-3.68E-06,0
3.08E-05,-3.45E-06,0
3.08E-05,-2.64E-06,0
3.08E-05,-1.61E-06,0
6.30E-05,-5.87E-06,0
6.30E-05,-1.44E-05,8.33E-22
6.29E-05,-2.21E-05,0
6.28E-05,-2.50E-05,0
6.27E-05,-2.49E-05,0
6.26E-05,-2.40E-05,0
6.25E-05,-2.30E-05,0
6.24E-05,-2.16E-05,0
6.23E-05,-2.01E-05,9.55E-22
6.22E-05,-1.86E-05,-1.46E-23
6.21E-05,-1.69E-05,8.23E-22
6.20E-05,-1.52E-05,0
6.19E-05,-1.35E-05,1.42E-21
6.18E-05,-1.18E-05,0
6.16E-05,-1.01E-05,-1.24E-21
6.15E-05,-8.50E-06,-1.89E-23
6.14E-05,-6.93E-06,-2.17E-21
6.12E-05,-5.40E-06,0
6.11E-05,-3.88E-06,1.91E-21
6.09E-05,-2.39E-06,3.63E-21
6.06E-05,-9.20E-07,-1.73E-21
6.04E-05,5.54E-07,3.22E-21
6.01E-05,2.01E-06,-4.83E-23
5.97E-05,3.45E-06,0
5.93E-05,4.86E-06,0
5.88E-05,6.21E-06,-4.07E-23
5.82E-05,7.42E-06,2.54E-21
5.75E-05,8.48E-06,2.48E-21
5.67E-05,9.34E-06,0
5.58E-05,9.90E-06,0
