U:0,U:1,U:2
0.029243,0.0013165,-7.50E-23
0.029478,0.0012911,7.88E-23
0.029713,0.0012604,0
0.029944,0.0012256,-2.64E-21
0.03017,0.0011875,3.07E-23
0.030389,0.001147,2.87E-21
0.030598,0.0011049,-3.04E-21
0.030794,0.0010616,6.28E-21
0.030974,0.0010176,-3.34E-21
0.031138,0.00097326,3.53E-21
0.031281,0.00092882,-3.75E-21
0.031403,0.00088447,-1.15E-22
0.031503,0.00084037,-1.82E-21
0.031578,0.00079667,-1.86E-23
0.031629,0.00075347,2.25E-21
0.031654,0.00071089,-2.24E-21
0.031654,0.00066901,2.50E-21
0.031627,0.00062791,1.55E-22
0.031573,0.00058764,8.34E-23
0.03149,0.00054824,-2.67E-21
0.031378,0.00050972,3.03E-21
0.031235,0.00047208,0
0.031058,0.00043532,0
0.030848,0.0003994,-2.37E-22
0.030602,0.00036434,-2.12E-21
0.030319,0.00033014,4.36E-21
0.029998,0.00029685,-2.54E-21
0.02964,0.00026457,0
0.029243,0.0002334,8.72E-23
0.028806,0.00020352,-9.31E-23
0.028328,0.00017511,0
0.027808,0.00014836,0
0.02724,0.00012348,1.81E-21
0.02662,0.00010069,-1.95E-21
0.025939,8.02E-05,0
0.025189,6.21E-05,-1.14E-21
0.024355,4.65E-05,2.68E-21
0.023423,3.35E-05,-1.39E-21
0.022374,2.31E-05,-4.76E-23
0.021183,1.51E-05,0
0.019817,9.40E-06,0
0.018227,5.58E-06,-1.00E-22
0.016332,3.33E-06,5.91E-22
0.013969,2.15E-06,-7.41E-22
0.01072,1.47E-06,2.87E-22
0.0050023,1.24E-06,-4.01E-22
0.0036989,-0.0012824,0
0.0088892,-0.0025646,-1.02E-20
0.011976,-0.0031352,1.40E-20
0.014179,-0.0033429,-5.66E-21
0.015902,-0.0033466,5.38E-24
0.017301,-0.0032336,6.85E-21
0.018465,-0.0030496,-1.26E-20
0.019449,-0.0028218,-8.82E-22
0.020292,-0.0025691,5.93E-21
0.021024,-0.0023046,6.65E-21
0.021668,-0.0020376,-5.99E-21
0.022241,-0.0017737,-6.58E-21
0.022758,-0.0015169,6.04E-21
0.023229,-0.0012694,0
0.023662,-0.0010323,-6.56E-21
