grad(k):0,grad(k):1,grad(k):2
6.32E-05,0.00080467,-3.98E-20
1.70E-05,0.00049536,4.21E-20
2.18E-07,0.00036779,-2.05E-20
-7.88E-06,0.0002954,3.05E-23
-1.26E-05,0.00024663,-2.11E-20
-1.58E-05,0.00020979,1.96E-20
-1.82E-05,0.00017972,-1.08E-24
-2.03E-05,0.00015394,-1.68E-23
-2.21E-05,0.00013117,1.80E-23
-2.35E-05,0.00011073,0
-2.46E-05,9.22E-05,1.67E-20
-2.54E-05,7.54E-05,-1.55E-20
-2.59E-05,6.02E-05,1.51E-20
-2.60E-05,4.63E-05,-1.41E-20
-2.58E-05,3.38E-05,5.18E-23
-2.52E-05,2.24E-05,1.43E-24
-2.44E-05,1.23E-05,-4.78E-23
-2.33E-05,3.18E-06,-1.14E-20
-2.20E-05,-4.90E-06,1.07E-20
-2.06E-05,-1.21E-05,0
-1.90E-05,-1.83E-05,1.24E-24
-1.73E-05,-2.38E-05,0
-1.55E-05,-2.85E-05,6.63E-23
-1.37E-05,-3.26E-05,-6.10E-23
-1.20E-05,-3.60E-05,3.68E-21
-1.02E-05,-3.89E-05,-6.81E-21
-8.54E-06,-4.13E-05,3.26E-21
-6.94E-06,-4.32E-05,0
-5.43E-06,-4.47E-05,9.00E-23
-4.04E-06,-4.58E-05,2.73E-21
-2.76E-06,-4.66E-05,-2.58E-21
-1.62E-06,-4.70E-05,7.45E-23
-6.12E-07,-4.71E-05,-6.95E-23
2.58E-07,-4.69E-05,0
9.92E-07,-4.64E-05,1.86E-21
1.59E-06,-4.56E-05,-1.58E-22
2.07E-06,-4.46E-05,-1.79E-21
2.42E-06,-4.33E-05,1.60E-21
2.66E-06,-4.19E-05,-3.12E-21
2.81E-06,-4.02E-05,1.57E-21
2.88E-06,-3.84E-05,-1.41E-21
2.87E-06,-3.65E-05,1.47E-21
2.81E-06,-3.44E-05,4.05E-23
2.71E-06,-3.24E-05,5.63E-22
2.57E-06,-3.02E-05,-3.38E-23
2.42E-06,-2.81E-05,-6.37E-22
2.25E-06,-2.60E-05,5.58E-22
2.07E-06,-2.39E-05,-6.13E-22
1.90E-06,-2.19E-05,-3.51E-23
1.72E-06,-1.99E-05,-1.74E-23
1.54E-06,-1.78E-05,5.17E-22
1.36E-06,-1.57E-05,-5.78E-22
1.18E-06,-1.36E-05,0
1.00E-06,-1.14E-05,0
8.27E-07,-9.17E-06,3.85E-23
6.52E-07,-6.86E-06,3.30E-22
4.83E-07,-4.52E-06,-6.64E-22
3.25E-07,-2.18E-06,3.79E-22
