grad(k):0,grad(k):1,grad(k):2
5.71E-07,1.28E-05,-1.98E-22
7.98E-07,2.00E-05,-1.09E-22
1.01E-06,2.75E-05,0
1.18E-06,3.45E-05,0
1.25E-06,3.97E-05,0
1.20E-06,4.15E-05,0
1.02E-06,3.83E-05,-9.39E-23
7.10E-07,2.75E-05,0
3.18E-07,4.98E-06,-1.14E-22
-1.18E-07,-4.09E-05,0
-5.61E-07,-0.00015438,0
-9.78E-07,-0.00082599,-6.03E-23
-1.62E-07,-0.0010465,-1.25E-23
1.94E-06,0.00045468,0
7.33E-06,0.00044456,0
9.56E-06,0.00022294,0
1.10E-05,0.00014937,0
1.22E-05,0.00011601,0
1.33E-05,9.68E-05,-7.45E-23
1.42E-05,8.42E-05,0
1.52E-05,7.53E-05,-2.90E-22
1.61E-05,6.87E-05,-1.40E-22
1.70E-05,6.36E-05,0
1.80E-05,5.96E-05,0
1.89E-05,5.64E-05,2.76E-22
1.99E-05,5.39E-05,0
2.09E-05,5.19E-05,0
2.19E-05,5.04E-05,0
2.28E-05,4.94E-05,1.40E-23
2.37E-05,4.87E-05,0
2.46E-05,4.84E-05,-4.92E-22
2.53E-05,4.84E-05,4.88E-22
2.57E-05,4.88E-05,0
2.59E-05,4.96E-05,-2.33E-23
2.58E-05,5.04E-05,5.07E-22
2.51E-05,5.12E-05,-4.87E-22
2.38E-05,5.20E-05,0
2.18E-05,5.22E-05,-1.02E-21
1.91E-05,5.12E-05,0
1.56E-05,4.85E-05,1.04E-21
1.17E-05,4.33E-05,-1.49E-23
7.60E-06,3.50E-05,0
3.76E-06,2.37E-05,0
6.23E-07,1.03E-05,1.03E-21
-1.54E-06,-3.72E-06,2.00E-21
-2.73E-06,-1.63E-05,-1.93E-21
-3.20E-06,-2.55E-05,1.84E-21
-3.33E-06,-3.06E-05,0
-3.43E-06,-3.20E-05,-1.64E-21
-3.65E-06,-3.07E-05,0
-3.97E-06,-2.84E-05,0
-4.28E-06,-2.61E-05,0
-4.51E-06,-2.45E-05,1.36E-21
-4.61E-06,-2.36E-05,1.31E-21
-4.57E-06,-2.34E-05,-1.28E-21
-4.41E-06,-2.37E-05,-1.24E-21
-4.16E-06,-2.42E-05,1.20E-21
-3.85E-06,-2.48E-05,0
-3.49E-06,-2.54E-05,-1.13E-21
-3.12E-06,-2.57E-05,1.10E-21
-2.75E-06,-2.59E-05,1.62E-21
-2.38E-06,-2.59E-05,0
-2.04E-06,-2.56E-05,5.18E-22
-1.73E-06,-2.51E-05,0
-1.45E-06,-2.44E-05,5.01E-22
-1.20E-06,-2.36E-05,-1.59E-24
-9.91E-07,-2.26E-05,0
-8.10E-07,-2.15E-05,0
-6.59E-07,-2.03E-05,0
-5.34E-07,-1.90E-05,2.49E-22
-4.32E-07,-1.76E-05,0
-3.47E-07,-1.61E-05,2.58E-22
-2.73E-07,-1.44E-05,0
-2.03E-07,-1.23E-05,2.73E-22
-1.30E-07,-9.92E-06,-2.85E-22
-4.28E-08,-6.95E-06,-1.49E-22
6.71E-08,-3.28E-06,3.16E-22
2.09E-07,1.27E-06,3.38E-22
3.89E-07,6.81E-06,-1.82E-22
6.01E-07,1.33E-05,1.98E-22
8.30E-07,2.06E-05,-1.09E-22
1.04E-06,2.81E-05,1.21E-22
1.20E-06,3.49E-05,0
1.25E-06,3.97E-05,0
1.18E-06,4.10E-05,0
9.82E-07,3.72E-05,0
6.65E-07,2.60E-05,0
2.64E-07,2.98E-06,0
-1.79E-07,-4.32E-05,1.23E-22
-6.29E-07,-0.00015681,0
-1.04E-06,-0.00082456,0
-1.84E-07,-0.0010427,0
1.83E-06,0.00048533,0
6.71E-06,0.00046906,0
8.84E-06,0.00023417,0
1.03E-05,0.00015682,0
1.14E-05,0.00012178,0
1.24E-05,0.00010163,7.45E-23
1.33E-05,8.85E-05,-7.88E-23
1.42E-05,7.92E-05,1.49E-22
1.51E-05,7.22E-05,-1.56E-22
1.60E-05,6.69E-05,0
1.69E-05,6.27E-05,0
1.78E-05,5.94E-05,-1.42E-22
1.87E-05,5.67E-05,2.93E-22
1.96E-05,5.45E-05,0
2.05E-05,5.28E-05,0
2.14E-05,5.15E-05,-2.66E-22
2.23E-05,5.06E-05,0
2.31E-05,4.99E-05,0
2.37E-05,4.96E-05,0
2.42E-05,4.95E-05,0
2.44E-05,4.97E-05,5.08E-22
2.42E-05,4.98E-05,-5.07E-22
2.35E-05,4.99E-05,0
2.24E-05,4.98E-05,0
2.06E-05,4.92E-05,1.02E-21
1.81E-05,4.75E-05,-1.06E-21
1.50E-05,4.42E-05,-1.04E-21
1.14E-05,3.87E-05,2.11E-21
7.61E-06,3.06E-05,0
4.02E-06,2.00E-05,0
1.01E-06,7.48E-06,0
-1.15E-06,-5.49E-06,9.98E-22
-2.42E-06,-1.72E-05,0
-2.98E-06,-2.59E-05,0
-3.17E-06,-3.08E-05,0
-3.29E-06,-3.21E-05,1.64E-21
-3.50E-06,-3.10E-05,1.55E-21
-3.79E-06,-2.87E-05,0
-4.09E-06,-2.64E-05,0
-4.33E-06,-2.46E-05,-1.36E-21
-4.44E-06,-2.36E-05,-1.31E-21
-4.43E-06,-2.33E-05,0
-4.30E-06,-2.35E-05,1.22E-21
-4.08E-06,-2.40E-05,-1.20E-21
-3.78E-06,-2.45E-05,0
-3.45E-06,-2.50E-05,2.26E-21
-3.09E-06,-2.54E-05,-1.10E-21
-2.73E-06,-2.56E-05,-5.38E-22
-2.38E-06,-2.55E-05,0
-2.05E-06,-2.53E-05,0
-1.75E-06,-2.48E-05,0
-1.47E-06,-2.41E-05,-4.98E-22
-1.23E-06,-2.33E-05,-4.94E-22
-1.02E-06,-2.23E-05,0
-8.34E-07,-2.12E-05,0
-6.83E-07,-2.01E-05,0
-5.58E-07,-1.88E-05,-2.48E-22
-4.54E-07,-1.75E-05,0
-3.66E-07,-1.60E-05,0
-2.88E-07,-1.42E-05,0
-2.14E-07,-1.22E-05,2.73E-22
-1.35E-07,-9.76E-06,2.85E-22
-4.11E-08,-6.74E-06,1.49E-22
7.64E-08,-3.00E-06,4.69E-26
2.28E-07,1.65E-06,-1.69E-22
4.14E-07,7.30E-06,1.83E-22
6.31E-07,1.39E-05,-1.99E-22
8.60E-07,2.12E-05,1.09E-22
1.07E-06,2.87E-05,-2.43E-22
1.21E-06,3.52E-05,0
1.25E-06,3.96E-05,1.52E-22
1.16E-06,4.05E-05,0
9.39E-07,3.61E-05,0
6.10E-07,2.44E-05,0
2.02E-07,9.31E-07,0
-2.43E-07,-4.55E-05,-1.23E-22
-6.89E-07,-0.00015921,-6.34E-23
-1.09E-06,-0.00082298,0
-1.99E-07,-0.0010388,0
1.73E-06,0.00051364,0
6.16E-06,0.00049162,2.75E-23
8.19E-06,0.00024488,0
9.54E-06,0.00016393,0
1.06E-05,0.00012727,0
1.15E-05,0.00010621,0
1.24E-05,9.25E-05,-3.65E-24
1.33E-05,8.28E-05,8.21E-23
1.41E-05,7.56E-05,1.56E-22
1.49E-05,7.00E-05,0
1.57E-05,6.57E-05,1.58E-22
1.66E-05,6.22E-05,0
1.74E-05,5.93E-05,-2.93E-22
1.83E-05,5.70E-05,0
1.91E-05,5.51E-05,2.96E-22
2.00E-05,5.36E-05,-2.91E-22
2.07E-05,5.24E-05,0
2.15E-05,5.14E-05,0
2.21E-05,5.07E-05,0
2.25E-05,5.02E-05,5.55E-22
2.27E-05,4.98E-05,5.50E-22
2.25E-05,4.93E-05,0
2.20E-05,4.88E-05,0
2.09E-05,4.79E-05,-5.42E-22
1.93E-05,4.65E-05,1.08E-21
1.70E-05,4.42E-05,1.06E-21
1.42E-05,4.03E-05,0
1.10E-05,3.46E-05,-1.06E-21
7.53E-06,2.66E-05,-1.07E-21
4.20E-06,1.65E-05,1.05E-21
1.35E-06,4.77E-06,-1.03E-21
-7.62E-07,-7.29E-06,-9.98E-22
-2.07E-06,-1.81E-05,9.58E-22
-2.72E-06,-2.63E-05,-1.82E-21
-2.98E-06,-3.10E-05,-1.73E-21
-3.13E-06,-3.23E-05,-1.63E-21
-3.33E-06,-3.12E-05,-1.55E-21
-3.61E-06,-2.90E-05,1.47E-21
-3.91E-06,-2.66E-05,0
-4.15E-06,-2.48E-05,-1.34E-21
-4.28E-06,-2.37E-05,0
-4.29E-06,-2.33E-05,0
-4.19E-06,-2.34E-05,-1.22E-21
-3.99E-06,-2.37E-05,-1.18E-21
-3.72E-06,-2.42E-05,1.15E-21
-3.40E-06,-2.47E-05,-1.12E-21
-3.06E-06,-2.51E-05,0
-2.72E-06,-2.52E-05,-5.32E-22
-2.38E-06,-2.52E-05,-5.21E-22
-2.06E-06,-2.49E-05,5.11E-22
-1.76E-06,-2.45E-05,5.02E-22
-1.49E-06,-2.38E-05,9.93E-22
-1.24E-06,-2.30E-05,0
-1.04E-06,-2.21E-05,0
-8.57E-07,-2.10E-05,0
-7.07E-07,-1.99E-05,2.45E-22
-5.81E-07,-1.87E-05,2.48E-22
-4.74E-07,-1.73E-05,2.51E-22
-3.83E-07,-1.58E-05,0
-3.03E-07,-1.41E-05,0
-2.24E-07,-1.21E-05,-2.73E-22
-1.39E-07,-9.59E-06,0
-3.86E-08,-6.52E-06,-1.49E-22
8.73E-08,-2.70E-06,-1.58E-22
2.46E-07,2.05E-06,-1.69E-22
4.39E-07,7.81E-06,-3.66E-22
6.60E-07,1.45E-05,1.99E-22
8.87E-07,2.19E-05,0
1.09E-06,2.92E-05,-4.73E-25
1.21E-06,3.55E-05,0
1.24E-06,3.95E-05,-1.52E-22
1.13E-06,3.98E-05,0
8.92E-07,3.49E-05,0
5.49E-07,2.27E-05,0
1.38E-07,-1.12E-06,0
-3.05E-07,-4.78E-05,1.22E-22
-7.43E-07,-0.00016154,6.34E-23
-1.12E-06,-0.00082127,0
-2.11E-07,-0.0010346,0
1.63E-06,0.0005398,6.36E-24
5.65E-06,0.00051241,-2.75E-23
7.54E-06,0.00025496,0
8.79E-06,0.00017053,0
9.79E-06,0.00013235,0
1.07E-05,0.00011046,0
1.15E-05,9.62E-05,8.24E-23
1.23E-05,8.61E-05,-8.21E-23
1.30E-05,7.87E-05,0
1.38E-05,7.29E-05,0
1.45E-05,6.84E-05,6.34E-24
1.53E-05,6.47E-05,0
1.61E-05,6.17E-05,0
1.69E-05,5.93E-05,0
1.77E-05,5.72E-05,-2.96E-22
1.85E-05,5.55E-05,5.94E-22
1.92E-05,5.41E-05,0
1.98E-05,5.28E-05,2.94E-22
2.04E-05,5.18E-05,0
2.08E-05,5.09E-05,-1.13E-21
2.10E-05,4.99E-05,-1.12E-21
2.08E-05,4.89E-05,0
2.03E-05,4.77E-05,0
1.94E-05,4.62E-05,5.42E-22
1.79E-05,4.42E-05,-1.08E-21
1.59E-05,4.12E-05,1.10E-21
1.34E-05,3.69E-05,1.10E-21
1.05E-05,3.09E-05,0
7.36E-06,2.30E-05,1.07E-21
4.31E-06,1.32E-05,-1.05E-21
1.64E-06,2.19E-06,1.03E-21
-4.04E-07,-9.06E-06,0
-1.73E-06,-1.91E-05,-1.86E-24
-2.44E-06,-2.68E-05,1.82E-21
-2.76E-06,-3.12E-05,1.73E-21
-2.95E-06,-3.25E-05,1.63E-21
-3.16E-06,-3.14E-05,0
-3.44E-06,-2.92E-05,-1.47E-21
-3.73E-06,-2.69E-05,0
-3.98E-06,-2.50E-05,1.34E-21
-4.12E-06,-2.38E-05,0
-4.15E-06,-2.33E-05,0
-4.07E-06,-2.32E-05,0
-3.90E-06,-2.35E-05,1.18E-21
-3.65E-06,-2.40E-05,-1.15E-21
-3.35E-06,-2.44E-05,0
-3.03E-06,-2.47E-05,5.41E-22
-2.70E-06,-2.49E-05,2.98E-24
-2.37E-06,-2.49E-05,5.21E-22
-2.06E-06,-2.46E-05,-5.11E-22
-1.76E-06,-2.42E-05,-5.02E-22
-1.50E-06,-2.35E-05,-1.90E-24
-1.26E-06,-2.28E-05,0
-1.06E-06,-2.18E-05,0
-8.78E-07,-2.08E-05,0
-7.28E-07,-1.97E-05,-2.45E-22
-6.01E-07,-1.85E-05,0
-4.94E-07,-1.72E-05,-2.51E-22
-4.01E-07,-1.57E-05,0
-3.16E-07,-1.40E-05,0
-2.33E-07,-1.19E-05,0
-1.42E-07,-9.40E-06,1.42E-22
-3.44E-08,-6.29E-06,1.49E-22
9.90E-08,-2.38E-06,-1.58E-22
2.64E-07,2.46E-06,3.39E-22
4.63E-07,8.33E-06,3.66E-22
6.87E-07,1.51E-05,0
9.12E-07,2.25E-05,0
1.10E-06,2.97E-05,1.22E-22
1.22E-06,3.57E-05,1.37E-22
1.22E-06,3.93E-05,0
1.09E-06,3.91E-05,0
8.39E-07,3.37E-05,0
4.88E-07,2.10E-05,0
7.51E-08,-3.16E-06,0
-3.64E-07,-5.01E-05,-1.22E-22
-7.91E-07,-0.00016379,0
-1.16E-06,-0.00081944,5.92E-23
-2.20E-07,-0.0010304,-1.23E-23
1.52E-06,0.00056385,3.58E-25
5.13E-06,0.00053126,0
6.88E-06,0.00026425,0
8.06E-06,0.00017674,0
9.00E-06,0.00013714,0
9.82E-06,0.00011444,-8.86E-23
1.06E-05,9.97E-05,0
1.13E-05,8.93E-05,0
1.20E-05,8.15E-05,0
1.27E-05,7.56E-05,0
1.34E-05,7.09E-05,-1.65E-22
1.41E-05,6.71E-05,1.68E-22
1.48E-05,6.40E-05,0
1.56E-05,6.13E-05,3.24E-22
1.63E-05,5.91E-05,0
1.70E-05,5.72E-05,-3.03E-22
1.76E-05,5.56E-05,0
1.82E-05,5.41E-05,-5.98E-22
1.87E-05,5.28E-05,-6.00E-22
1.91E-05,5.15E-05,-1.82E-23
1.92E-05,5.01E-05,5.69E-22
1.91E-05,4.85E-05,0
1.87E-05,4.68E-05,0
1.79E-05,4.47E-05,0
1.66E-05,4.20E-05,0
1.48E-05,3.85E-05,-1.10E-21
1.26E-05,3.37E-05,-2.21E-21
9.93E-06,2.75E-05,0
7.11E-06,1.96E-05,1.08E-21
4.33E-06,1.02E-05,0
1.86E-06,-2.38E-07,0
-8.38E-08,-1.08E-05,0
-1.40E-06,-2.02E-05,-1.91E-21
-2.15E-06,-2.73E-05,9.07E-22
-2.53E-06,-3.15E-05,0
-2.76E-06,-3.27E-05,0
-2.98E-06,-3.17E-05,0
-3.26E-06,-2.95E-05,0
-3.55E-06,-2.71E-05,0
-3.81E-06,-2.52E-05,0
-3.97E-06,-2.39E-05,0
-4.02E-06,-2.33E-05,0
-3.96E-06,-2.31E-05,0
-3.81E-06,-2.34E-05,1.16E-21
-3.58E-06,-2.37E-05,0
-3.30E-06,-2.41E-05,0
-3.00E-06,-2.44E-05,-5.41E-22
-2.68E-06,-2.46E-05,5.29E-22
-2.36E-06,-2.45E-05,0
-2.06E-06,-2.43E-05,0
-1.77E-06,-2.39E-05,-4.98E-22
-1.51E-06,-2.33E-05,-1.92E-24
-1.28E-06,-2.25E-05,-4.88E-22
-1.07E-06,-2.16E-05,0
-8.98E-07,-2.06E-05,0
-7.48E-07,-1.95E-05,0
-6.21E-07,-1.83E-05,0
-5.12E-07,-1.70E-05,0
-4.16E-07,-1.55E-05,0
-3.29E-07,-1.38E-05,-2.63E-22
-2.39E-07,-1.18E-05,2.72E-22
-1.43E-07,-9.21E-06,-7.73E-26
-3.02E-08,-6.03E-06,0
1.10E-07,-2.05E-06,1.58E-22
2.82E-07,2.89E-06,1.85E-25
4.87E-07,8.86E-06,-3.67E-22
7.13E-07,1.57E-05,0
9.34E-07,2.30E-05,0
1.11E-06,3.01E-05,0
1.21E-06,3.58E-05,-2.75E-22
1.19E-06,3.90E-05,0
1.05E-06,3.84E-05,0
7.82E-07,3.25E-05,-9.55E-23
4.26E-07,1.93E-05,0
1.27E-08,-5.20E-06,0
-4.20E-07,-5.23E-05,0
-8.35E-07,-0.00016597,0
-1.18E-06,-0.00081749,-5.92E-23
-2.29E-07,-0.001026,1.23E-23
1.41E-06,0.00058561,-1.38E-23
4.63E-06,0.00054833,0
6.28E-06,0.00027305,0
7.38E-06,0.00018257,0
8.25E-06,0.00014161,0
9.01E-06,0.00011814,8.86E-23
9.71E-06,0.00010287,0
1.04E-05,9.21E-05,9.13E-23
1.10E-05,8.42E-05,0
1.17E-05,7.80E-05,0
1.23E-05,7.32E-05,1.76E-22
1.29E-05,6.92E-05,-3.40E-22
1.36E-05,6.60E-05,0
1.42E-05,6.32E-05,1.00E-23
1.49E-05,6.09E-05,0
1.55E-05,5.88E-05,0
1.61E-05,5.70E-05,0
1.67E-05,5.53E-05,3.04E-22
1.71E-05,5.36E-05,6.00E-22
1.74E-05,5.20E-05,5.93E-22
1.75E-05,5.02E-05,0
1.74E-05,4.82E-05,0
1.71E-05,4.60E-05,5.89E-22
1.63E-05,4.34E-05,5.83E-22
1.52E-05,4.02E-05,0
1.36E-05,3.61E-05,1.14E-21
1.16E-05,3.10E-05,2.24E-21
9.32E-06,2.45E-05,0
6.80E-06,1.66E-05,-1.08E-21
4.29E-06,7.47E-06,0
2.02E-06,-2.50E-06,0
1.92E-07,-1.24E-05,0
-1.09E-06,-2.12E-05,9.54E-22
-1.87E-06,-2.79E-05,-9.07E-22
-2.29E-06,-3.18E-05,0
-2.55E-06,-3.29E-05,-1.61E-21
-2.80E-06,-3.19E-05,1.53E-21
-3.08E-06,-2.98E-05,-1.45E-21
-3.38E-06,-2.74E-05,0
-3.64E-06,-2.54E-05,0
-3.81E-06,-2.40E-05,0
-3.88E-06,-2.33E-05,-1.23E-21
-3.84E-06,-2.31E-05,1.19E-21
-3.71E-06,-2.32E-05,-2.32E-21
-3.51E-06,-2.35E-05,0
-3.25E-06,-2.39E-05,0
-2.96E-06,-2.41E-05,0
-2.66E-06,-2.43E-05,0
-2.35E-06,-2.42E-05,5.13E-22
-2.05E-06,-2.40E-05,0
-1.77E-06,-2.36E-05,4.98E-22
-1.52E-06,-2.30E-05,-4.92E-22
-1.29E-06,-2.22E-05,4.88E-22
-1.09E-06,-2.14E-05,0
-9.17E-07,-2.04E-05,0
-7.66E-07,-1.93E-05,-2.43E-22
-6.39E-07,-1.82E-05,0
-5.28E-07,-1.69E-05,0
-4.30E-07,-1.54E-05,0
-3.39E-07,-1.37E-05,2.63E-22
-2.46E-07,-1.16E-05,-2.72E-22
-1.45E-07,-9.01E-06,-2.84E-22
-2.52E-08,-5.77E-06,0
1.22E-07,-1.70E-06,0
3.01E-07,3.34E-06,-1.70E-22
5.10E-07,9.39E-06,1.84E-22
7.37E-07,1.63E-05,0
9.53E-07,2.36E-05,1.11E-22
1.12E-06,3.05E-05,0
1.20E-06,3.59E-05,2.76E-22
1.16E-06,3.87E-05,0
1.00E-06,3.76E-05,0
7.26E-07,3.12E-05,9.55E-23
3.64E-07,1.76E-05,0
-4.81E-08,-7.22E-06,0
-4.73E-07,-5.44E-05,6.10E-23
-8.74E-07,-0.00016806,0
-1.21E-06,-0.00081544,-5.86E-23
-2.36E-07,-0.0010215,0
1.30E-06,0.00060542,1.44E-23
4.19E-06,0.00056386,0
5.73E-06,0.00028123,0
6.74E-06,0.00018796,0
7.54E-06,0.00014572,0
8.24E-06,0.00012155,0
8.88E-06,0.00010582,0
9.48E-06,9.48E-05,-9.13E-23
1.01E-05,8.66E-05,9.30E-23
1.07E-05,8.02E-05,1.83E-22
1.12E-05,7.52E-05,-3.56E-22
1.18E-05,7.12E-05,1.73E-22
1.24E-05,6.78E-05,0
1.30E-05,6.49E-05,-3.34E-22
1.36E-05,6.25E-05,0
1.41E-05,6.02E-05,-3.31E-22
1.46E-05,5.82E-05,0
1.51E-05,5.63E-05,3.21E-22
1.55E-05,5.44E-05,3.16E-22
1.58E-05,5.24E-05,0
1.59E-05,5.03E-05,-6.16E-22
1.58E-05,4.80E-05,0
1.55E-05,4.53E-05,1.25E-23
1.48E-05,4.22E-05,-5.83E-22
1.38E-05,3.85E-05,0
1.25E-05,3.40E-05,-1.14E-21
1.07E-05,2.85E-05,-1.13E-21
8.67E-06,2.19E-05,0
6.43E-06,1.40E-05,0
4.18E-06,4.99E-06,-1.07E-21
2.11E-06,-4.58E-06,1.04E-21
4.22E-07,-1.40E-05,-9.98E-22
-8.05E-07,-2.23E-05,0
-1.59E-06,-2.85E-05,0
-2.05E-06,-3.21E-05,0
-2.34E-06,-3.32E-05,1.61E-21
-2.61E-06,-3.22E-05,-2.29E-21
-2.90E-06,-3.00E-05,1.45E-21
-3.21E-06,-2.76E-05,0
-3.47E-06,-2.56E-05,0
-3.66E-06,-2.41E-05,0
-3.75E-06,-2.33E-05,1.23E-21
-3.73E-06,-2.30E-05,-1.19E-21
-3.62E-06,-2.31E-05,1.16E-21
-3.43E-06,-2.33E-05,0
-3.19E-06,-2.36E-05,0
-2.92E-06,-2.39E-05,-5.32E-22
-2.63E-06,-2.40E-05,0
-2.33E-06,-2.39E-05,-2.65E-24
-2.05E-06,-2.37E-05,-5.01E-22
-1.78E-06,-2.33E-05,0
-1.53E-06,-2.27E-05,4.88E-22
-1.30E-06,-2.20E-05,-4.84E-22
-1.11E-06,-2.11E-05,4.82E-22
-9.33E-07,-2.02E-05,0
-7.85E-07,-1.91E-05,4.86E-22
-6.56E-07,-1.80E-05,0
-5.44E-07,-1.67E-05,0
-4.44E-07,-1.52E-05,0
-3.49E-07,-1.35E-05,0
-2.53E-07,-1.14E-05,1.36E-22
-1.45E-07,-8.79E-06,1.42E-22
-1.84E-08,-5.49E-06,0
1.34E-07,-1.34E-06,-1.59E-22
3.19E-07,3.79E-06,-1.70E-22
5.33E-07,9.93E-06,0
7.59E-07,1.69E-05,0
9.69E-07,2.41E-05,-1.11E-22
1.12E-06,3.08E-05,0
1.19E-06,3.60E-05,-2.77E-22
1.13E-06,3.83E-05,0
9.53E-07,3.67E-05,0
6.66E-07,2.98E-05,0
3.01E-07,1.59E-05,0
-1.06E-07,-9.21E-06,-1.14E-22
-5.22E-07,-5.66E-05,-6.10E-23
-9.12E-07,-0.00017007,0
-1.23E-06,-0.0008133,5.86E-23
-2.42E-07,-0.0010169,-1.21E-23
1.19E-06,0.00062341,-1.50E-23
3.79E-06,0.00057794,3.26E-23
5.20E-06,0.00028876,0
6.13E-06,0.00019292,0
6.87E-06,0.0001495,0
7.50E-06,0.00012466,0
8.08E-06,0.0001085,0
8.63E-06,9.71E-05,9.63E-23
9.16E-06,8.87E-05,-9.30E-23
9.69E-06,8.23E-05,4.54E-24
1.02E-05,7.71E-05,1.81E-22
1.07E-05,7.29E-05,-1.82E-22
1.12E-05,6.94E-05,-1.79E-22
1.18E-05,6.65E-05,0
1.23E-05,6.39E-05,-3.45E-22
1.28E-05,6.15E-05,3.31E-22
1.32E-05,5.93E-05,0
1.37E-05,5.72E-05,-6.50E-22
1.40E-05,5.51E-05,7.09E-24
1.43E-05,5.29E-05,-6.38E-22
1.43E-05,5.04E-05,6.16E-22
1.43E-05,4.77E-05,6.21E-22
1.40E-05,4.47E-05,-1.21E-21
1.34E-05,4.12E-05,0
1.25E-05,3.71E-05,0
1.13E-05,3.22E-05,1.18E-21
9.79E-06,2.64E-05,1.16E-21
7.98E-06,1.95E-05,1.13E-21
6.01E-06,1.16E-05,-1.11E-21
4.01E-06,2.77E-06,2.15E-21
2.15E-06,-6.47E-06,-1.04E-21
6.04E-07,-1.54E-05,9.98E-22
-5.54E-07,-2.33E-05,0
-1.32E-06,-2.91E-05,0
-1.80E-06,-3.25E-05,0
-2.13E-06,-3.35E-05,0
-2.42E-06,-3.24E-05,7.60E-22
-2.73E-06,-3.03E-05,-7.18E-22
-3.04E-06,-2.79E-05,0
-3.31E-06,-2.58E-05,6.53E-22
-3.51E-06,-2.43E-05,0
-3.62E-06,-2.33E-05,-6.07E-22
-3.62E-06,-2.30E-05,0
-3.53E-06,-2.29E-05,0
-3.36E-06,-2.31E-05,0
-3.14E-06,-2.34E-05,0
-2.88E-06,-2.36E-05,3.09E-24
-2.60E-06,-2.37E-05,5.17E-22
-2.32E-06,-2.36E-05,-5.10E-22
-2.04E-06,-2.34E-05,1.00E-21
-1.78E-06,-2.30E-05,0
-1.54E-06,-2.24E-05,-4.88E-22
-1.32E-06,-2.17E-05,4.84E-22
-1.12E-06,-2.09E-05,-4.82E-22
-9.49E-07,-2.00E-05,0
-8.01E-07,-1.90E-05,-6.11E-25
-6.72E-07,-1.78E-05,0
-5.60E-07,-1.65E-05,0
-4.57E-07,-1.51E-05,0
-3.59E-07,-1.33E-05,0
-2.57E-07,-1.12E-05,-1.30E-25
-1.44E-07,-8.56E-06,1.42E-22
-1.17E-08,-5.20E-06,1.49E-22
1.48E-07,-9.73E-07,1.59E-22
3.38E-07,4.26E-06,3.40E-22
5.54E-07,1.05E-05,0
7.78E-07,1.74E-05,0
9.81E-07,2.46E-05,0
1.12E-06,3.11E-05,1.25E-22
1.17E-06,3.59E-05,1.39E-22
1.10E-06,3.78E-05,7.78E-23
9.02E-07,3.58E-05,0
6.07E-07,2.85E-05,0
2.40E-07,1.42E-05,0
-1.63E-07,-1.12E-05,1.14E-22
-5.69E-07,-5.86E-05,0
-9.45E-07,-0.000172,0
-1.24E-06,-0.00081106,0
-2.47E-07,-0.0010123,1.21E-23
1.09E-06,0.00063968,7.64E-24
3.41E-06,0.00059066,-3.26E-23
4.71E-06,0.00029569,0
5.56E-06,0.00019746,0
6.23E-06,0.00015294,0
6.80E-06,0.00012748,0
7.33E-06,0.00011093,0
7.82E-06,9.93E-05,2.13E-24
8.30E-06,9.07E-05,-9.74E-23
8.77E-06,8.40E-05,4.11E-24
9.23E-06,7.88E-05,0
9.69E-06,7.45E-05,3.68E-22
1.01E-05,7.09E-05,1.79E-22
1.06E-05,6.78E-05,0
1.11E-05,6.51E-05,6.98E-22
1.15E-05,6.26E-05,0
1.19E-05,6.03E-05,-3.41E-22
1.22E-05,5.80E-05,6.64E-22
1.25E-05,5.57E-05,-3.24E-22
1.27E-05,5.32E-05,6.38E-22
1.28E-05,5.05E-05,6.41E-22
1.28E-05,4.75E-05,1.08E-23
1.25E-05,4.42E-05,-1.00E-23
1.20E-05,4.03E-05,-6.14E-22
1.12E-05,3.59E-05,0
1.02E-05,3.06E-05,-1.77E-21
8.85E-06,2.45E-05,1.17E-23
7.28E-06,1.75E-05,-1.13E-21
5.55E-06,9.49E-06,1.11E-21
3.79E-06,8.02E-07,-2.16E-21
2.14E-06,-8.17E-06,0
7.38E-07,-1.68E-05,9.99E-22
-3.37E-07,-2.42E-05,0
-1.08E-06,-2.98E-05,0
-1.57E-06,-3.29E-05,-8.50E-22
-1.92E-06,-3.38E-05,0
-2.23E-06,-3.27E-05,0
-2.55E-06,-3.06E-05,7.18E-22
-2.87E-06,-2.82E-05,0
-3.15E-06,-2.60E-05,-6.53E-22
-3.37E-06,-2.44E-05,0
-3.49E-06,-2.34E-05,6.07E-22
-3.50E-06,-2.29E-05,0
-3.43E-06,-2.28E-05,0
-3.28E-06,-2.30E-05,0
-3.08E-06,-2.32E-05,0
-2.84E-06,-2.33E-05,5.29E-22
-2.57E-06,-2.34E-05,-2.84E-24
-2.30E-06,-2.34E-05,0
-2.03E-06,-2.31E-05,-4.99E-22
-1.78E-06,-2.27E-05,0
-1.54E-06,-2.22E-05,0
-1.32E-06,-2.15E-05,-4.81E-22
-1.13E-06,-2.07E-05,-2.40E-22
-9.63E-07,-1.98E-05,0
-8.16E-07,-1.88E-05,-2.42E-22
-6.87E-07,-1.76E-05,0
-5.73E-07,-1.64E-05,2.48E-22
-4.68E-07,-1.49E-05,0
-3.66E-07,-1.32E-05,-2.62E-22
-2.60E-07,-1.10E-05,-1.36E-22
-1.43E-07,-8.32E-06,-7.73E-26
-5.87E-09,-4.90E-06,-3.38E-27
1.60E-07,-5.88E-07,0
3.55E-07,4.73E-06,2.33E-25
5.72E-07,1.10E-05,0
